Org,Repo,Yaml,Smell 1,Smell 2,Smell 3,Smell 4,Smell 5,Smell 6,Smell 7,Smell 8,Smell 9,Smell 10,Smell 11,Smell 12,Smell 13,Smell 14,Smell 15,Smell 16,Smell 17,Smell 18,Smell 19,Smell 20,Smell 21,Smell 22,Smell 23
cypress-io,cypress,update-browser-versions.yml,Tool,Tool,Tool,Tool,Tool,,,,Tool,,,Tool,Tool,Tool,Tool,,,Tool,,,,,
app-vnext,polly,stale.yml,,,,,Tool,,,,Tool,,,Tool,Tool,Tool,Tool,Tool,,,,,,,
n8n-io,n8n,ci-master.yml,Tool,,,,Tool,,Tool,Tool,,,,Tool,,Tool,Tool,,,,,,,,
appwrite,appwrite,cleanup-cache.yml,Tool,Tool,Tool,Tool,Tool,Tool,,,,,,Tool,,Tool,Tool,,,Tool,,,,,
parcel-bundler,parcel,canary-release.yml,Tool,,,,,,,,Tool,,,Tool,Tool,,,,,,,,,,
scikit-learn,scikit-learn,check-sdist.yml,,Tool,,Tool,Tool,,,,Tool,,,Tool,Tool,,Tool,Tool,,Tool,,Tool,,,
oracle,graal,spring.yml,,Tool,,,Tool,Tool,,,,,,,Tool,Tool,,,,Tool,Tool,,,,
google,gson,check-api-compatibility.yml,,,,,Tool,,,,,Tool,,Tool,,Tool,Tool,,,Tool,,,,,
cheeriojs,cheerio,site.yml,,Tool,,,Tool,,,Tool,,,,Tool,,,Tool,,,,Tool,,,Tool,
app-vnext,polly,after-release.yml,,,,Tool,Tool,,,,,,,Tool,Tool,Tool,Tool,,,Tool,,,,,
abpframework,abp,build-and-test.yml,,Tool,,,,Tool,Tool,,,,Tool,Tool,,Tool,,Tool,,,Tool,,Tool,Tool,
mattermost,mattermost,codeql-analysis.yml,,Tool,,,Tool,Tool,,,,,,,Tool,Tool,Tool,,,Tool,,,,,
google,gson,codeql-analysis.yml,,,,,Tool,Tool,Tool,Tool,Tool,,,Tool,Tool,Tool,Tool,,,,,,,,
keycloak,keycloak,ci.yml,,,,Tool,Tool,,,Tool,,Tool,,Tool,,Tool,Tool,Tool,,Tool,Tool,,,,
hpcaitech,ColossalAI,draft_github_release_post_after_merge.yml,Tool,Tool,Tool,,Tool,Tool,,,,,,,Tool,Tool,Tool,Tool,,Tool,,Tool,Tool,,
getsentry,sentry,codecov_carryforward_reports.yml,Tool,,,,Tool,,Tool,Tool,,,,Tool,,Tool,Tool,Tool,,Tool,,,,,
hpcaitech,ColossalAI,report_test_coverage.yml,Tool,Tool,Tool,,Tool,,,,,,,Tool,,,Tool,,,Tool,,,Tool,,
mattermost,mattermost,e2e-fulltests-ci.yml,Tool,,,Tool,Tool,,,,,,,Tool,,Tool,Tool,,,Tool,Tool,,,,
parcel-bundler,parcel,ci.yml,,Tool,,,Tool,Tool,Tool,Tool,,Tool,,Tool,,,Tool,Tool,,Tool,Tool,,,Tool,
localstack,localstack,tests-cli.yml,,Tool,,,Tool,,,,,,,Tool,,Tool,Tool,,,Tool,Tool,Tool,,,
dotnet,AspNetCore.Docs,whats-new.yml,,Tool,,,Tool,,,,,,,,Tool,Tool,Tool,Tool,,,,,,,
alibaba,sentinel,document-lint.yml,Tool,Tool,,,Tool,Tool,Tool,Tool,,,,Tool,,,Tool,Tool,,,,Tool,Tool,,
gui-cs,Terminal.Gui,dotnet-core.yml,Tool,Tool,,,,Tool,Tool,,,,,Tool,,Tool,,,,Tool,,,,Tool,
scikit-learn,scikit-learn,unassign.yml,,,,Tool,Tool,,,,,,,Tool,,Tool,Tool,,,Tool,,,,,
doocs,Leetcode,pr-checker.yml,Tool,Tool,,Tool,Tool,,,,,,,Tool,,Tool,Tool,,,,Tool,,,,
Nuxt,Nuxt,scorecards.yml,,,,,Tool,,Tool,Tool,,,,,Tool,Tool,Tool,,,,,,,,
jenkinsci,jenkins,announce-lts-rc.yml,Tool,,,,Tool,,,,,,,Tool,,Tool,Tool,,,,,,,,
oracle,graal,micronaut.yml,,Tool,,,Tool,Tool,,,,,,,Tool,Tool,,,,Tool,Tool,,,,
gpt-engineer-org,gpt-engineer,ci.yaml,Tool,Tool,,,Tool,,,,,,,Tool,,Tool,Tool,,,Tool,Tool,,,,
