file_hash,action,context,credentials,cron,deprecated-commands,env-var-name,expression,glob,id-name,if-cond,job-dependency,job-id,local-action,matrix,metadata,permissions,popular-action,pyflakes,reusable-workflow,runner-label,shell-name,shellcheck,syntax-check,untrusted-input,webhook-event,workflow-dispatch
e7cb8a974cfb50bd0c40519f2a99dee4032f73f24cb361b19bfcd21753e82c68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d92d5231421ddb0178da62891742fa1302ab68e6a6a681717cc010d61173212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92dcced45e19732743e3e70a61fb3a966a5730a6ccc8fd61ec18afefddb72e92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fc3086cf5613ba03bedbad0fb7324c01d0c2f96e588d11524de00305174f689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6b44996778718edfa5f43b34a6e24b450c4090118e0941810ae816b265d7ec8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79a229b715c26cf470adb14892af3e12fa6139d608ac10f1e679643417f1151a,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
063b5220be2640f884ffcc50dfeedba7240a50ab939c4d7885f6d02ab36b8e6f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1787c5f11e6734a6e21031b44ad05f1918768d1dda313e7d4195d43b75b36ab6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c1caeddcf72905a56ab1a603066efcdfec0b2a193ec66b27b37772721be0cd9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42cc7c0c846018d4b0d0af19643b54330f3217b7b70ed52c619c7f466dd4d889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ae9e2f5e4a5d89b4bc8cdb9cbc6d1d3478e295d2ef569e2cee3bfa0a594b68d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1986e69a19a5f06fa5890780965d80b1cb7429ea814436e0d37bc5122603d6f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
